,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
16,10/19/2018,ORL,CHA,1383.853796,1496.592229,88,120,104,112,120,0,0,0
17,10/19/2018,BKN,NYK,1429.554466,1419.152832,107,105,100,126,105,0,0,1
18,10/19/2018,MIN,CLE,1532.886571,1551.525677,131,123,108,104,123,0,0,1
19,10/19/2018,TOR,BOS,1583.693415,1573.849372,113,101,116,0,101,0,0,1
20,10/19/2018,NOP,SAC,1592.879896,1391.917034,149,129,131,117,129,0,0,1
21,10/19/2018,MEM,ATL,1362.00336,1378.46102,131,117,83,107,117,0,0,1
22,10/19/2018,MIL,IND,1523.176876,1560.410943,118,101,113,111,101,0,0,1
23,10/19/2018,UTA,GSW,1627.959203,1688.56783,123,124,123,108,124,0,0,0
24,10/19/2018,LAC,OKC,1494.650957,1580.566531,108,92,98,100,92,0,0,1
25,10/20/2018,IND,BKN,1548.956357,1432.629069,132,112,106,103.5,112,1,1,1
26,10/20/2018,WAS,TOR,1494.474324,1591.116337,113,117,112,114.5,117,0,1,0
27,10/20/2018,NYK,BOS,1416.078229,1566.42645,101,103,115.5,101,103,1,1,0
28,10/20/2018,PHI,ORL,1597.968529,1361.997583,116,115,127,96,115,0,1,1
29,10/20/2018,CHI,DET,1360.438246,1494.852781,116,118,108,103,118,0,0,0
30,10/20/2018,MIA,CHA,1499.015512,1518.448442,112,113,107,116,113,0,1,0
31,10/20/2018,DAL,MIN,1379.422313,1539.450522,140,136,100,119.5,136,0,1,1
32,10/20/2018,DEN,PHO,1577.733617,1348.579524,119,91,107,121,91,0,0,1
33,10/20/2018,POR,SAS,1565.033366,1543.878354,121,108,128,112,108,0,0,1
34,10/20/2018,LAL,HOU,1486.29667,1626.228984,115,124,119,112,124,0,0,0
35,10/21/2018,CLE,ATL,1544.961726,1369.249374,111,133,113.5,112,133,0,0,0
36,10/21/2018,OKC,SAC,1567.227839,1387.949386,120,131,96,123,131,0,0,0
37,10/21/2018,DEN,GSW,1582.037167,1693.212414,100,98,113,116,98,1,0,1
38,10/21/2018,LAC,HOU,1507.98965,1634.582114,115,112,103,118,112,0,1,1
39,10/22/2018,BOS,ORL,1570.402809,1361.192831,90,93,102,102.3333333,93,0,0,0
40,10/22/2018,TOR,CHA,1597.519029,1523.753091,127,106,115.3333333,115,106,0,0,1
41,10/22/2018,MIN,IND,1531.670592,1555.198635,101,91,125,114.6666667,91,0,0,1
42,10/22/2018,MIL,NYK,1534.631462,1412.10187,124,113,115.5,110.6666667,113,0,0,1
43,10/22/2018,DAL,CHI,1387.202242,1356.200116,115,109,120,112,109,0,0,1
44,10/22/2018,UTA,MEM,1623.314619,1371.215006,84,92,123,107,92,0,0,0
45,10/22/2018,POR,WAS,1572.4589,1488.071632,124,125,124.5,112.5,125,0,0,0
46,10/22/2018,LAL,SAS,1477.943541,1536.45282,142,143,117,110,143,0,0,0
47,10/22/2018,GSW,PHO,1688.180197,1344.275974,123,103,110,106,103,1,0,1
48,10/23/2018,DET,PHI,1499.090912,1598.773282,133,132,110.5,121.5,132,0,0,1
49,10/23/2018,NOP,LAC,1596.847544,1514.138138,116,109,140,107,109,0,0,1
50,10/23/2018,DEN,SAC,1587.069384,1411.574623,126,112,108.6666667,125.6666667,112,0,0,1
51,10/24/2018,CLE,BKN,1507.659704,1426.38679,86,102,112.6666667,106.3333333,102,0,0,0
52,10/24/2018,ATL,DAL,1406.551396,1391.680704,111,104,119,118.3333333,104,0,0,1
53,10/24/2018,MIA,NYK,1493.710862,1408.037975,110,87,108.6666667,111.25,87,0,0,1
54,10/24/2018,TOR,MIN,1605.520666,1539.331485,112,105,118.25,119,105,0,0,1
55,10/24/2018,HOU,UTA,1628.433626,1600.978167,89,100,116,110,100,0,0,0
56,10/24/2018,CHI,CHA,1351.721655,1515.751454,112,110,111,112.75,110,0,0,1
57,10/24/2018,SAS,IND,1541.130394,1547.537742,96,116,121,108.75,116,0,0,0
58,10/24/2018,MIL,PHI,1538.695357,1594.736092,123,108,118.3333333,125,108,0,1,1
59,10/24/2018,PHO,LAL,1342.533658,1473.265966,113,131,105,125.3333333,131,0,0,0
60,10/24/2018,SAC,MEM,1407.992119,1393.551458,97,92,122.25,102,92,1,0,1
61,10/24/2018,GSW,WAS,1689.922513,1495.116838,144,122,113.25,116.6666667,122,0,0,1
62,10/25/2018,ORL,POR,1373.905133,1565.413694,114,128,100,124.3333333,128,0,0,0
63,10/25/2018,DET,CLE,1503.128101,1483.339541,110,103,118,106,103,0,1,1
64,10/25/2018,OKC,BOS,1543.602601,1557.690507,95,101,104,98,101,0,0,0
