,date,playoff,HOME,AWAY,ELO_H,ELO_A,ELO_Ha,ELO_Aa,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,BACK_H,BACK_A,WL
0,2018-10-16,,BOS,PHI,1561.524193,1607.057688,1573.849372,1594.732509,105,87,0.0,0.0,0,0,1
1,2018-10-16,,GSW,OKC,1684.816393,1584.317968,1688.56783,1580.566531,108,100,0.0,0.0,0,0,1
2,2018-10-17,,ORL,MIA,1377.813714,1499.3165,1383.853796,1493.276418,104,101,0.0,0.0,0,0,1
3,2018-10-17,,IND,MEM,1554.98701,1367.427292,1560.410943,1362.00336,111,83,0.0,0.0,0,0,1
4,2018-10-17,,DET,BRK,1492.025381,1432.381866,1494.852781,1429.554466,103,100,0.0,0.0,0,0,1
5,2018-10-17,,CHO,MIL,1501.955313,1517.813792,1496.592229,1523.176876,112,113,0.0,0.0,0,0,0
6,2018-10-17,,NYK,ATL,1409.590805,1388.023047,1419.152832,1378.46102,126,107,0.0,0.0,0,0,1
7,2018-10-17,,TOR,CLE,1576.534421,1558.684671,1583.693415,1551.525677,116,104,0.0,0.0,0,0,1
8,2018-10-17,,HOU,NOP,1654.095907,1565.012972,1626.228984,1592.879896,112,131,0.0,0.0,0,0,0
9,2018-10-17,,SAS,MIN,1539.712298,1537.052627,1543.878354,1532.886571,112,108,0.0,0.0,0,0,1
10,2018-10-17,,SAC,UTA,1396.480976,1623.395261,1391.917034,1627.959203,117,123,0.0,0.0,0,0,0
11,2018-10-17,,PHO,DAL,1334.044894,1393.956943,1348.579524,1379.422313,121,100,0.0,0.0,0,0,1
12,2018-10-17,,LAC,DEN,1505.831923,1566.552652,1494.650957,1577.733617,98,107,0.0,0.0,0,0,0
13,2018-10-18,,PHI,CHI,1594.732509,1363.674266,1597.968529,1360.438246,127,108,0.0,0.0,0,0,1
14,2018-10-18,,WAS,MIA,1500.213419,1493.276418,1494.474324,1499.015512,112,113,0.0,101.0,0,1,0
15,2018-10-18,,POR,LAL,1560.337017,1490.993019,1565.033366,1486.29667,128,119,0.0,0.0,0,0,1
16,2018-10-19,,ORL,CHO,1383.853796,1496.592229,1361.997583,1518.448442,88,120,104.0,112.0,0,0,0
17,2018-10-19,,BRK,NYK,1429.554466,1419.152832,1432.629069,1416.078229,107,105,100.0,126.0,0,0,1
18,2018-10-19,,MIN,CLE,1532.886571,1551.525677,1539.450522,1544.961726,131,123,108.0,104.0,0,0,1
19,2018-10-19,,TOR,BOS,1583.693415,1573.849372,1591.116337,1566.42645,113,101,116.0,0.0,0,0,1
20,2018-10-19,,NOP,SAC,1592.879896,1391.917034,1596.847544,1387.949386,149,129,131.0,117.0,0,0,1
21,2018-10-19,,MEM,ATL,1362.00336,1378.46102,1371.215006,1369.249374,131,117,83.0,107.0,0,0,1
